"Date","state","Series"
0,"AK","2"
0,"AL","3"
0,"AR","3"
0,"AZ","2"
0,"CA","3"
0,"CO","3"
0,"CT","3"
0,"DE","3"
0,"FL","2"
0,"GA","1"
0,"HI","3"
0,"IA","3"
0,"ID","2"
0,"IL","3"
0,"IN","3"
0,"KS","3"
0,"KY","3"
0,"LA","2"
0,"MA","3"
0,"MD","3"
0,"ME","2"
0,"MI","3"
0,"MN","3"
0,"MO","2"
0,"MS","3"
0,"MT","2"
0,"NC","3"
0,"ND","3"
0,"NE","1"
0,"NH","2"
0,"NJ","2"
0,"NM","2"
0,"NV","2"
0,"NY","2"
0,"OH","3"
0,"OK","2"
0,"OR","3"
0,"PA","3"
0,"RI","3"
0,"SC","2"
0,"SD","1"
0,"TN","2"
0,"TX","3"
0,"UT","3"
0,"VA","2"
0,"VT","3"
0,"WA","2"
0,"WI","3"
0,"WV","3"
0,"WY","1"
7,"AK","2"
7,"AL","3"
7,"AR","3"
7,"AZ","2"
7,"CA","3"
7,"CO","3"
7,"CT","3"
7,"DE","3"
7,"FL","2"
7,"GA","1"
7,"HI","3"
7,"IA","3"
7,"ID","2"
7,"IL","3"
7,"IN","3"
7,"KS","3"
7,"KY","3"
7,"LA","2"
7,"MA","3"
7,"MD","3"
7,"ME","2"
7,"MI","3"
7,"MN","3"
7,"MO","2"
7,"MS","3"
7,"MT","2"
7,"NC","3"
7,"ND","3"
7,"NE","1"
7,"NH","2"
7,"NJ","2"
7,"NM","2"
7,"NV","2"
7,"NY","2"
7,"OH","3"
7,"OK","2"
7,"OR","3"
7,"PA","3"
7,"RI","3"
7,"SC","2"
7,"SD","1"
7,"TN","2"
7,"TX","3"
7,"UT","3"
7,"VA","2"
7,"VT","3"
7,"WA","2"
7,"WI","3"
7,"WV","3"
7,"WY","1"
14,"AK","2"
14,"AL","3"
14,"AR","3"
14,"AZ","2"
14,"CA","3"
14,"CO","3"
14,"CT","3"
14,"DE","3"
14,"FL","2"
14,"GA","1"
14,"HI","3"
14,"IA","3"
14,"ID","2"
14,"IL","3"
14,"IN","3"
14,"KS","3"
14,"KY","3"
14,"LA","2"
14,"MA","3"
14,"MD","3"
14,"ME","2"
14,"MI","3"
14,"MN","3"
14,"MO","2"
14,"MS","3"
14,"MT","2"
14,"NC","3"
14,"ND","3"
14,"NE","1"
14,"NH","2"
14,"NJ","2"
14,"NM","2"
14,"NV","2"
14,"NY","2"
14,"OH","3"
14,"OK","2"
14,"OR","3"
14,"PA","3"
14,"RI","3"
14,"SC","2"
14,"SD","1"
14,"TN","2"
14,"TX","3"
14,"UT","3"
14,"VA","2"
14,"VT","3"
14,"WA","2"
14,"WI","3"
14,"WV","3"
14,"WY","1"
21,"AK","2"
21,"AL","3"
21,"AR","3"
21,"AZ","2"
21,"CA","3"
21,"CO","3"
21,"CT","3"
21,"DE","3"
21,"FL","2"
21,"GA","1"
21,"HI","3"
21,"IA","3"
21,"ID","2"
21,"IL","3"
21,"IN","3"
21,"KS","3"
21,"KY","3"
21,"LA","2"
21,"MA","3"
21,"MD","3"
21,"ME","2"
21,"MI","3"
21,"MN","3"
21,"MO","2"
21,"MS","3"
21,"MT","2"
21,"NC","3"
21,"ND","3"
21,"NE","1"
21,"NH","2"
21,"NJ","2"
21,"NM","2"
21,"NV","2"
21,"NY","2"
21,"OH","3"
21,"OK","2"
21,"OR","3"
21,"PA","3"
21,"RI","3"
21,"SC","2"
21,"SD","1"
21,"TN","2"
21,"TX","3"
21,"UT","3"
21,"VA","2"
21,"VT","3"
21,"WA","2"
21,"WI","3"
21,"WV","3"
21,"WY","1"
28,"AK","2"
28,"AL","3"
28,"AR","3"
28,"AZ","2"
28,"CA","3"
28,"CO","3"
28,"CT","3"
28,"DE","3"
28,"FL","2"
28,"GA","1"
28,"HI","3"
28,"IA","3"
28,"ID","2"
28,"IL","3"
28,"IN","3"
28,"KS","3"
28,"KY","3"
28,"LA","2"
28,"MA","3"
28,"MD","3"
28,"ME","2"
28,"MI","3"
28,"MN","3"
28,"MO","2"
28,"MS","3"
28,"MT","2"
28,"NC","3"
28,"ND","3"
28,"NE","1"
28,"NH","2"
28,"NJ","2"
28,"NM","2"
28,"NV","2"
28,"NY","2"
28,"OH","3"
28,"OK","2"
28,"OR","3"
28,"PA","3"
28,"RI","3"
28,"SC","2"
28,"SD","1"
28,"TN","2"
28,"TX","3"
28,"UT","3"
28,"VA","2"
28,"VT","3"
28,"WA","2"
28,"WI","3"
28,"WV","3"
28,"WY","3"
35,"AK","2"
35,"AL","3"
35,"AR","3"
35,"AZ","2"
35,"CA","3"
35,"CO","3"
35,"CT","3"
35,"DE","3"
35,"FL","2"
35,"GA","1"
35,"HI","3"
35,"IA","3"
35,"ID","2"
35,"IL","3"
35,"IN","3"
35,"KS","3"
35,"KY","3"
35,"LA","2"
35,"MA","3"
35,"MD","3"
35,"ME","2"
35,"MI","3"
35,"MN","3"
35,"MO","2"
35,"MS","3"
35,"MT","2"
35,"NC","3"
35,"ND","2"
35,"NE","1"
35,"NH","2"
35,"NJ","2"
35,"NM","2"
35,"NV","2"
35,"NY","2"
35,"OH","3"
35,"OK","2"
35,"OR","3"
35,"PA","3"
35,"RI","3"
35,"SC","2"
35,"SD","1"
35,"TN","2"
35,"TX","3"
35,"UT","3"
35,"VA","2"
35,"VT","3"
35,"WA","2"
35,"WI","3"
35,"WV","3"
35,"WY","3"
42,"AK","2"
42,"AL","3"
42,"AR","3"
42,"AZ","2"
42,"CA","3"
42,"CO","3"
42,"CT","3"
42,"DE","3"
42,"FL","2"
42,"GA","1"
42,"HI","3"
42,"IA","3"
42,"ID","2"
42,"IL","3"
42,"IN","3"
42,"KS","3"
42,"KY","3"
42,"LA","2"
42,"MA","3"
42,"MD","3"
42,"ME","2"
42,"MI","3"
42,"MN","3"
42,"MO","2"
42,"MS","3"
42,"MT","2"
42,"NC","3"
42,"ND","2"
42,"NE","1"
42,"NH","2"
42,"NJ","2"
42,"NM","2"
42,"NV","2"
42,"NY","2"
42,"OH","3"
42,"OK","2"
42,"OR","3"
42,"PA","3"
42,"RI","3"
42,"SC","2"
42,"SD","1"
42,"TN","2"
42,"TX","3"
42,"UT","3"
42,"VA","2"
42,"VT","3"
42,"WA","2"
42,"WI","3"
42,"WV","3"
42,"WY","3"
49,"AK","2"
49,"AL","3"
49,"AR","3"
49,"AZ","2"
49,"CA","3"
49,"CO","3"
49,"CT","3"
49,"DE","3"
49,"FL","2"
49,"GA","1"
49,"HI","3"
49,"IA","3"
49,"ID","2"
