"Date","state","Series"
42,"WI",0
42,"WV",0
42,"WY",0
49,"AK",0
49,"AL",0
49,"AR",0
49,"AZ",0
49,"CA",0
49,"CO",0
49,"CT",0
49,"DE",0
49,"FL",0
49,"GA",0
49,"HI",0
49,"IA",0
49,"ID",0
49,"IL",0
49,"IN",0
49,"KS",0
49,"KY",0
49,"LA",0
49,"MA",0
49,"MD",0
49,"ME",0
49,"MI",0
49,"MN",0
49,"MO",0
49,"MS",0
49,"MT",0
49,"NC",0
49,"ND",0
49,"NE",0
49,"NH",0
49,"NJ",0
49,"NM",0
49,"NV",0
49,"NY",0
49,"OH",0
49,"OK",0
49,"OR",0
49,"PA",0
49,"RI",0
49,"SC",0
49,"SD",0
49,"TN",0
49,"TX",0
49,"UT",0
49,"VA",0
49,"VT",0
49,"WA",0
49,"WI",0
49,"WV",0
49,"WY",0
56,"AK",0
56,"AL",0
56,"AR",0
56,"AZ",0
56,"CA",0
56,"CO",0
56,"CT",0
56,"DE",0
56,"FL",0
56,"GA",0
56,"HI",0
56,"IA",0
56,"ID",0
56,"IL",0
56,"IN",0
56,"KS",0
56,"KY",0
56,"LA",0
56,"MA",0
56,"MD",0
56,"ME",0
56,"MI",0
56,"MN",0
56,"MO",0
56,"MS",0
56,"MT",0
56,"NC",0
56,"ND",0
56,"NE",0
56,"NH",0
56,"NJ",0
56,"NM",0
56,"NV",0
56,"NY",0
56,"OH",0
56,"OK",0
56,"OR",0
56,"PA",0
56,"RI",0
56,"SC",0
56,"SD",0
56,"TN",0
56,"TX",0
56,"UT",0
56,"VA",0
56,"VT",0
56,"WA",0
56,"WI",0
56,"WV",0
56,"WY",0
63,"AK",0
63,"AL",0
63,"AR",0
63,"AZ",0
63,"CA",0
63,"CO",0
63,"CT",0
63,"DE",0
63,"FL",0
63,"GA",0
63,"HI",0
63,"IA",0
63,"ID",0
63,"IL",0
63,"IN",0
63,"KS",0
63,"KY",0
63,"LA",0
63,"MA",0
63,"MD",0
63,"ME",0
63,"MI",0
63,"MN",0
63,"MO",0
63,"MS",0
63,"MT",0
63,"NC",0
63,"ND",0
63,"NE",0
63,"NH",0
63,"NJ",0
63,"NM",0
63,"NV",0
63,"NY",0
63,"OH",0
63,"OK",0
63,"OR",0
63,"PA",0
63,"RI",0
63,"SC",0
63,"SD",0
63,"TN",0
63,"TX",0
63,"UT",0
63,"VA",0
63,"VT",0
63,"WA",0
63,"WI",0
63,"WV",0
63,"WY",0
70,"AK",0
70,"AL",0
70,"AR",0
70,"AZ",0
70,"CA",0
70,"CO",0
70,"CT",0
70,"DE",0
70,"FL",0
70,"GA",0
70,"HI",0
70,"IA",0
70,"ID",0
70,"IL",0
70,"IN",0
70,"KS",0
70,"KY",0
70,"LA",0
70,"MA",0
70,"MD",0
70,"ME",0
70,"MI",0
70,"MN",0
70,"MO",0
70,"MS",0
70,"MT",0
70,"NC",0
70,"ND",0
70,"NE",0
70,"NH",0
70,"NJ",0
70,"NM",0
70,"NV",0
70,"NY",0
70,"OH",0
70,"OK",0
70,"OR",0
70,"PA",0
70,"RI",0
70,"SC",0
70,"SD",0
70,"TN",0
70,"TX",0
70,"UT",0
70,"VA",0
70,"VT",0
70,"WA",0
70,"WI",0
70,"WV",0
70,"WY",0
77,"AK",0
77,"AL",0
77,"AR",0
77,"AZ",0
77,"CA",0
77,"CO",0
77,"CT",0
77,"DE",0
77,"FL",0
77,"GA",0
77,"HI",0
77,"IA",0
77,"ID",0
77,"IL",0
77,"IN",0
77,"KS",0
77,"KY",0
77,"LA",0
77,"MA",0
77,"MD",0
77,"ME",0
77,"MI",0
77,"MN",0
77,"MO",0
77,"MS",0
77,"MT",0
77,"NC",0
77,"ND",0
77,"NE",0
77,"NH",0
77,"NJ",0
77,"NM",0
77,"NV",0
77,"NY",0
77,"OH",0
77,"OK",0
77,"OR",0
77,"PA",0
77,"RI",0
77,"SC",0
77,"SD",0
77,"TN",0
77,"TX",0
77,"UT",0
77,"VA",0
77,"VT",0
77,"WA",0
77,"WI",0
77,"WV",0
77,"WY",0
84,"AK",16.3
84,"AL",8.9
84,"AR",9.5
84,"AZ",10.5
84,"CA",8.8
84,"CO",10.6
84,"CT",9.9
84,"DE",10.7
84,"FL",9.8
84,"GA",8.6
84,"HI",13
84,"IA",10.2
84,"ID",10.2
84,"IL",9.5
84,"IN",11.1
84,"KS",9.4
84,"KY",10.2
84,"LA",10.2
84,"MA",10.9
84,"MD",11
84,"ME",11.6
84,"MI",10.3
84,"MN",11
84,"MO",9.2
84,"MS",9.7
84,"MT",11.8
84,"NC",9.9
84,"ND",12.3
84,"NE",11.1
84,"NH",9.4
84,"NJ",10.7
84,"NM",14.6
84,"NV",9.9
84,"NY",9.5
84,"OH",10.4
84,"OK",12.1
84,"OR",10.6
84,"PA",9.1
84,"RI",9.2
84,"SC",10
84,"SD",13.1
84,"TN",8.7
84,"TX",8.8
84,"UT",7.6
84,"VA",11.1
84,"VT",11.2
84,"WA",10.8
84,"WI",11.2
84,"WV",13
84,"WY",12.3
91,"AK",18.6
91,"AL",10.7
91,"AR",10.6
91,"AZ",13.1
91,"CA",11
91,"CO",13
91,"CT",14.8
91,"DE",12.8
91,"FL",11.9
91,"GA",9.9
91,"HI",15.2
91,"IA",13.6
91,"ID",12.1
91,"IL",12.6
91,"IN",13
91,"KS",11.7
91,"KY",12.5
91,"LA",12.1
91,"MA",13.7
91,"MD",12.9
91,"ME",14.4
91,"MI",12.2
91,"MN",13.5
91,"MO",10.8
91,"MS",11.3
91,"MT",14.4
91,"NC",12.6
91,"ND",15.1
91,"NE",13.7
91,"NH",12
91,"NJ",13.1
91,"NM",17.6
91,"NV",12
91,"NY",11.4
91,"OH",12.6
91,"OK",13.5
91,"OR",12.3
91,"PA",12
91,"RI",11.7
91,"SC",11.6
91,"SD",16
91,"TN",10.1
91,"TX",10.1
91,"UT",8.8
91,"VA",13.1
91,"VT",13.5
91,"WA",13
91,"WI",13.4
91,"WV",14.7
91,"WY",14.1
98,"AK",20.3
98,"AL",12
98,"AR",11.8
98,"AZ",14.8
98,"CA",13.5
98,"CO",15.6
98,"CT",17.3
98,"DE",13.9
98,"FL",13.7
98,"GA",11.2
98,"HI",16.8
98,"IA",16.6
98,"ID",14.4
98,"IL",14.5
98,"IN",14.7
98,"KS",14.1
98,"KY",14.4
98,"LA",13.8
98,"MA",16.1
98,"MD",14.5
98,"ME",16.5
98,"MI",14.3
98,"MN",15.7
98,"MO",12.6
98,"MS",12.8
98,"MT",16.2
98,"NC",14.2
98,"ND",17.1
98,"NE",15.6
98,"NH",14.7
98,"NJ",15.4
98,"NM",20.6
98,"NV",13.7
98,"NY",13.3
98,"OH",14.5
98,"OK",15.2
98,"OR",14.4
